,ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
90,13/05/2021,Adult,Mayo University Hospital,"3,722","2,806","1,635","4,269","12,432"
91,13/05/2021,Adult,Mercy University Hospital,"2,262","1,072",983,"2,214","6,530"
92,13/05/2021,Adult,Midland Regional Hospital Mullingar,"3,599","2,317","1,661","1,072","8,649"
93,13/05/2021,Adult,Midland Regional Hospital Portlaoise,"2,200","1,508","1,129","1,682","6,519"
94,13/05/2021,Adult,Midland Regional Hospital Tullamore,"4,868","3,376","2,283","6,023","16,550"
95,13/05/2021,Adult,Naas General Hospital,"3,954","2,250","1,704","2,850","10,758"
96,13/05/2021,Adult,National Orthopaedic Hospital Cappagh,"1,571",441,216,69,"2,297"
97,13/05/2021,Adult,Nenagh Hospital,405,405,270,134,"1,214"
98,13/05/2021,Adult,Our Lady of Lourdes Hospital Drogheda,"5,527","3,087","1,406","1,629","11,648"
99,13/05/2021,Adult,Our Lady's Hospital Navan,"2,523","1,514","1,219","2,169","7,425"
100,13/05/2021,Adult,Portiuncula University Hospital,"1,788",844,560,743,"3,935"
101,13/05/2021,Adult,Roscommon University Hospital,"2,317","1,203",842,"2,011","6,373"
102,13/05/2021,Adult,Rotunda Hospital,"2,268",965,32,0,"3,265"
103,13/05/2021,Adult,Royal Victoria Eye and Ear Hospital,"3,521","2,182","1,881","7,073","14,657"
104,13/05/2021,Adult,Sligo University Hospital,"6,091","3,892","2,705","4,706","17,393"
105,13/05/2021,Adult,South Infirmary Victoria University Hospital,"7,173","3,534","2,376","7,278","20,361"
106,13/05/2021,Adult,St. Columcille's Hospital,"1,591","1,093",788,"1,571","5,042"
107,13/05/2021,Adult,St. James's Hospital,"11,933","5,098","3,370","5,707","26,107"
108,13/05/2021,Adult,St. John's Hospital Limerick,693,360,157,440,"1,649"
109,13/05/2021,Adult,St. Luke's General Hospital Kilkenny,"2,212",449,147,213,"3,020"
110,13/05/2021,Adult,St. Michael's Hospital,"2,173",512,335,398,"3,417"
111,13/05/2021,Adult,St. Vincent's University Hospital,"11,956","4,906","3,657","6,245","26,763"
112,13/05/2021,Adult,Tallaght University Hospital,"11,097","7,139","4,782","11,986","35,004"
113,13/05/2021,Adult,Tipperary University Hospital,"2,032",872,401,544,"3,849"
114,13/05/2021,Adult,University Hospital Kerry,"3,846","2,552","1,536","2,909","10,842"
115,13/05/2021,Adult,University Hospital Limerick,"10,799","7,367","5,246","17,682","41,094"
116,13/05/2021,Adult,University Hospital Waterford,"11,721","7,943","6,397","15,236","41,297"
117,13/05/2021,Adult,Wexford General Hospital,"2,305",877,195,6,"3,383"
118,13/05/2021,Child,Beaumont Hospital,70,15,5,0,90
119,13/05/2021,Child,Cavan General Hospital,340,69,66,4,479
120,13/05/2021,Child,Children's Health Ireland,"15,036","7,355","5,596","14,355","42,342"
121,13/05/2021,Child,Cork University Hospital,"2,206","1,015",727,983,"4,931"
122,13/05/2021,Child,Cork University Maternity Hospital,43,4,0,0,47
123,13/05/2021,Child,Croom Orthopaedic Hospital,132,85,36,8,261
124,13/05/2021,Child,Ennis Hospital,10,7,5,7,30
125,13/05/2021,Child,Galway University Hospitals,"1,962",948,740,"1,218","4,868"
126,13/05/2021,Child,Letterkenny University Hospital,735,304,275,890,"2,205"
127,13/05/2021,Child,Mallow General Hospital,57,33,50,38,177
128,13/05/2021,Child,Mayo University Hospital,502,164,140,713,"1,519"
129,13/05/2021,Child,Mercy University Hospital,258,129,95,101,582
130,13/05/2021,Child,Midland Regional Hospital Mullingar,534,212,150,157,"1,052"
131,13/05/2021,Child,Midland Regional Hospital Portlaoise,388,239,151,64,842
132,13/05/2021,Child,Midland Regional Hospital Tullamore,557,379,492,"1,357","2,784"
133,13/05/2021,Child,Naas General Hospital,9,2,0,0,11
134,13/05/2021,Child,National Orthopaedic Hospital Cappagh,176,30,32,10,248
135,13/05/2021,Child,Nenagh Hospital,12,5,7,4,28
136,13/05/2021,Child,Our Lady of Lourdes Hospital Drogheda,"1,386",724,316,277,"2,702"
137,13/05/2021,Child,Our Lady's Hospital Navan,19,17,10,0,45
138,13/05/2021,Child,Portiuncula University Hospital,348,90,38,63,539
139,13/05/2021,Child,Rotunda Hospital,23,7,0,0,30
140,13/05/2021,Child,Royal Victoria Eye and Ear Hospital,208,104,122,478,912
141,13/05/2021,Child,Sligo University Hospital,765,465,385,438,"2,054"
142,13/05/2021,Child,Small Volume Hospitals,2,0,0,0,2
143,13/05/2021,Child,South Infirmary Victoria University Hospital,"1,046",415,138,389,"1,987"
144,13/05/2021,Child,St. John's Hospital Limerick,7,5,0,0,12
145,13/05/2021,Child,St. Luke's General Hospital Kilkenny,260,9,2,0,270
146,13/05/2021,Child,Tallaght University Hospital,36,5,9,4,54
147,13/05/2021,Child,Tipperary University Hospital,261,82,2,0,344
148,13/05/2021,Child,University Hospital Kerry,390,205,163,336,"1,094"
149,13/05/2021,Child,University Hospital Limerick,"1,259",729,715,"2,005","4,707"
150,13/05/2021,Child,University Hospital Waterford,"1,072",564,654,"2,333","4,624"
151,13/05/2021,Child,Wexford General Hospital,374,20,0,0,393
152,29/07/2021,Adult,Bantry General Hospital,621,379,212,433,"1,645"
153,29/07/2021,Adult,Beaumont Hospital,"16,363","4,899","1,507","1,111","23,880"
154,29/07/2021,Adult,Cavan General Hospital,"3,113","1,412",758,729,"6,012"
155,29/07/2021,Adult,Connolly Hospital Blanchardstown,"5,175","1,291",583,520,"7,569"
156,29/07/2021,Adult,Coombe Women and Infants University Hospital,"1,588",595,458,494,"3,135"
157,29/07/2021,Adult,Cork University Hospital,"10,921","6,681","3,708","9,411","30,721"
158,29/07/2021,Adult,Cork University Maternity Hospital,"1,601",405,53,8,"2,067"
159,29/07/2021,Adult,Croom Orthopaedic Hospital,"1,635","1,396",934,751,"4,716"
160,29/07/2021,Adult,Ennis Hospital,519,419,310,828,"2,076"
161,29/07/2021,Adult,Galway University Hospitals,"17,154","11,501","7,068","18,697","54,420"
162,29/07/2021,Adult,Letterkenny University Hospital,"6,529","3,410","2,443","6,479","18,861"
163,29/07/2021,Adult,Louth County Hospital,"1,537",692,339,190,"2,758"
164,29/07/2021,Adult,Mallow General Hospital,"1,413",635,355,319,"2,722"
165,29/07/2021,Adult,Mater Misericordiae University Hospital,"20,528","8,116","4,645","11,649","44,938"
166,29/07/2021,Adult,Mayo University Hospital,"3,635","3,188","1,928","4,835","13,586"
167,29/07/2021,Adult,Mercy University Hospital,"2,507","1,155",856,"2,502","7,020"
168,29/07/2021,Adult,Midland Regional Hospital Mullingar,"3,460","2,458","1,665","1,223","8,806"
169,29/07/2021,Adult,Midland Regional Hospital Portlaoise,"2,250","1,592",864,"1,883","6,589"
170,29/07/2021,Adult,Midland Regional Hospital Tullamore,"5,356","3,228","2,205","6,269","17,058"
171,29/07/2021,Adult,Naas General Hospital,"4,245","1,995","1,456","3,211","10,907"
172,29/07/2021,Adult,National Orthopaedic Hospital Cappagh,"1,650",319,135,87,"2,191"
173,29/07/2021,Adult,Nenagh Hospital,357,378,274,210,"1,219"
174,29/07/2021,Adult,Our Lady of Lourdes Hospital Drogheda,"6,144","3,404","1,354","1,351","12,253"
175,29/07/2021,Adult,Our Lady's Hospital Navan,"2,672","1,624","1,058","2,491","7,845"
176,29/07/2021,Adult,Portiuncula University Hospital,"1,839",858,449,835,"3,981"
177,29/07/2021,Adult,Roscommon University Hospital,"2,553","1,247",721,"1,950","6,471"
178,29/07/2021,Adult,Rotunda Hospital,"2,293","1,022",27,2,"3,344"
179,29/07/2021,Adult,Royal Victoria Eye and Ear Hospital,"3,615","2,257","1,817","7,583","15,272"
180,29/07/2021,Adult,Sligo University Hospital,"6,504","4,206","2,525","5,129","18,364"
181,29/07/2021,Adult,South Infirmary Victoria University Hospital,"7,520","3,416","2,162","7,691","20,789"
182,29/07/2021,Adult,St. Columcille's Hospital,"1,821","1,124",800,"1,825","5,570"
183,29/07/2021,Adult,St. James's Hospital,"12,791","4,910","2,671","5,132","25,504"
184,29/07/2021,Adult,St. John's Hospital Limerick,727,510,148,477,"1,862"
185,29/07/2021,Adult,St. Luke's General Hospital Kilkenny,"2,368",461,138,164,"3,131"
186,29/07/2021,Adult,St. Michael's Hospital,"2,363",511,218,447,"3,539"
187,29/07/2021,Adult,St. Vincent's University Hospital,"13,125","4,731","2,954","6,048","26,858"
188,29/07/2021,Adult,Tallaght University Hospital,"11,554","7,523","4,563","11,821","35,461"
189,29/07/2021,Adult,Tipperary University Hospital,"2,107",803,358,644,"3,912"
190,29/07/2021,Adult,University Hospital Kerry,"4,131","2,460","1,555","3,134","11,280"
191,29/07/2021,Adult,University Hospital Limerick,"11,362","7,746","5,154","19,229","43,491"
192,29/07/2021,Adult,University Hospital Waterford,"13,090","7,972","5,637","15,701","42,400"
193,29/07/2021,Adult,Wexford General Hospital,"2,320",865,164,15,"3,364"
194,29/07/2021,Child,Beaumont Hospital,87,17,5,2,111
195,29/07/2021,Child,Cavan General Hospital,395,81,42,15,533
196,29/07/2021,Child,Children's Health Ireland,"15,285","7,504","5,123","15,069","42,980"
197,29/07/2021,Child,Cork University Hospital,"2,355","1,143",623,"1,204","5,326"
198,29/07/2021,Child,Cork University Maternity Hospital,38,2,0,0,40
199,29/07/2021,Child,Croom Orthopaedic Hospital,101,51,46,13,211
200,29/07/2021,Child,Ennis Hospital,16,5,4,10,36
201,29/07/2021,Child,Galway University Hospitals,"2,201","1,178",664,"1,466","5,508"
202,29/07/2021,Child,Letterkenny University Hospital,735,248,218,928,"2,129"
203,29/07/2021,Child,Mallow General Hospital,70,30,18,35,152
204,29/07/2021,Child,Mayo University Hospital,615,242,134,754,"1,745"
205,29/07/2021,Child,Mercy University Hospital,284,118,72,74,547
206,29/07/2021,Child,Midland Regional Hospital Mullingar,541,252,140,179,"1,113"
207,29/07/2021,Child,Midland Regional Hospital Portlaoise,398,261,139,85,884
208,29/07/2021,Child,Midland Regional Hospital Tullamore,669,437,403,"1,426","2,934"
209,29/07/2021,Child,National Orthopaedic Hospital Cappagh,126,36,26,7,195
210,29/07/2021,Child,Nenagh Hospital,9,5,4,7,25
211,29/07/2021,Child,Our Lady of Lourdes Hospital Drogheda,"1,514",911,260,290,"2,974"
212,29/07/2021,Child,Our Lady's Hospital Navan,20,14,16,4,53
213,29/07/2021,Child,Portiuncula University Hospital,365,77,32,72,545
214,29/07/2021,Child,Rotunda Hospital,24,8,2,0,34
215,29/07/2021,Child,Royal Victoria Eye and Ear Hospital,222,106,98,522,948
216,29/07/2021,Child,Sligo University Hospital,862,466,326,486,"2,140"
217,29/07/2021,Child,Small Volume Hospitals,14,9,0,0,23
218,29/07/2021,Child,South Infirmary Victoria University Hospital,"1,098",363,126,382,"1,968"
219,29/07/2021,Child,St. Luke's General Hospital Kilkenny,306,15,0,2,322
220,29/07/2021,Child,Tallaght University Hospital,46,5,4,5,60
221,29/07/2021,Child,Tipperary University Hospital,308,66,2,0,375
222,29/07/2021,Child,University Hospital Kerry,410,223,135,350,"1,118"
223,29/07/2021,Child,University Hospital Limerick,"1,202",789,545,"2,198","4,735"
224,29/07/2021,Child,University Hospital Waterford,"1,128",627,465,"2,534","4,754"
225,29/07/2021,Child,Wexford General Hospital,382,10,2,2,395
226,26/08/2021,Adult,Bantry General Hospital,626,353,174,449,"1,602"
227,26/08/2021,Adult,Beaumont Hospital,"16,927","4,657","1,376","1,139","24,098"
228,26/08/2021,Adult,Cavan General Hospital,"3,212","1,307",685,794,"5,997"
229,26/08/2021,Adult,Connolly Hospital Blanchardstown,"4,848","1,073",304,153,"6,377"
230,26/08/2021,Adult,Coombe Women and Infants University Hospital,"1,666",422,275,393,"2,756"
231,26/08/2021,Adult,Cork University Hospital,"11,166","6,798","3,477","9,877","31,318"
232,26/08/2021,Adult,Cork University Maternity Hospital,"1,474",405,63,9,"1,951"
233,26/08/2021,Adult,Croom Orthopaedic Hospital,"1,757","1,318",933,804,"4,812"
234,26/08/2021,Adult,Ennis Hospital,539,400,285,855,"2,079"
235,26/08/2021,Adult,Galway University Hospitals,"17,162","11,447","6,851","19,298","54,757"
236,26/08/2021,Adult,Letterkenny University Hospital,"6,637","3,309","2,228","6,602","18,775"
237,26/08/2021,Adult,Louth County Hospital,"1,566",659,340,236,"2,801"
238,26/08/2021,Adult,Mallow General Hospital,"1,491",574,322,328,"2,715"
239,26/08/2021,Adult,Mater Misericordiae University Hospital,"21,115","7,939","4,435","11,969","45,457"
240,26/08/2021,Adult,Mayo University Hospital,"3,761","3,185","1,631","3,707","12,284"
241,26/08/2021,Adult,Mercy University Hospital,"2,570","1,082",808,"2,533","6,993"
242,26/08/2021,Adult,Midland Regional Hospital Mullingar,"3,655","2,409","1,554","1,374","8,992"
243,26/08/2021,Adult,Midland Regional Hospital Portlaoise,"2,319","1,537",787,"1,999","6,642"
244,26/08/2021,Adult,Midland Regional Hospital Tullamore,"5,218","3,167","2,144","5,863","16,392"
245,26/08/2021,Adult,Naas General Hospital,"4,537","1,986","1,289","3,470","11,281"
246,26/08/2021,Adult,National Orthopaedic Hospital Cappagh,"1,803",317,109,112,"2,341"
247,26/08/2021,Adult,Nenagh Hospital,376,358,239,236,"1,209"
248,26/08/2021,Adult,Our Lady of Lourdes Hospital Drogheda,"6,352","3,326","1,416","1,416","12,508"
249,26/08/2021,Adult,Our Lady's Hospital Navan,"2,722","1,611","1,003","2,573","7,909"
250,26/08/2021,Adult,Portiuncula University Hospital,"1,872",777,423,826,"3,897"
251,26/08/2021,Adult,Roscommon University Hospital,"2,756","1,253",734,"2,033","6,776"
252,26/08/2021,Adult,Rotunda Hospital,"2,286",961,13,2,"3,262"
253,26/08/2021,Adult,Royal Victoria Eye and Ear Hospital,"3,728","2,148","1,403","7,076","14,355"
254,26/08/2021,Adult,Sligo University Hospital,"6,479","4,135","2,527","5,414","18,554"
255,26/08/2021,Adult,South Infirmary Victoria University Hospital,"7,942","3,401","1,976","7,921","21,240"
256,26/08/2021,Adult,St. Columcille's Hospital,"1,895","1,127",802,"1,871","5,694"
257,26/08/2021,Adult,St. James's Hospital,"13,130","5,006","2,515","5,080","25,730"
258,26/08/2021,Adult,St. John's Hospital Limerick,707,500,147,480,"1,833"
259,26/08/2021,Adult,St. Luke's General Hospital Kilkenny,"2,480",492,121,131,"3,223"
260,26/08/2021,Adult,St. Michael's Hospital,"2,455",485,159,428,"3,527"
261,26/08/2021,Adult,St. Vincent's University Hospital,"13,644","4,660","2,485","4,803","25,591"
262,26/08/2021,Adult,Tallaght University Hospital,"12,095","7,532","4,256","11,957","35,839"
263,26/08/2021,Adult,Tipperary University Hospital,"2,140",823,364,660,"3,986"
264,26/08/2021,Adult,University Hospital Kerry,"4,244","2,349","1,522","3,302","11,416"
265,26/08/2021,Adult,University Hospital Limerick,"11,806","7,564","4,680","19,607","43,656"
266,26/08/2021,Adult,University Hospital Waterford,"13,329","8,001","5,345","15,684","42,359"
267,26/08/2021,Adult,Wexford General Hospital,"2,389",844,149,31,"3,413"
268,26/08/2021,Child,Beaumont Hospital,111,14,7,5,138
269,26/08/2021,Child,Cavan General Hospital,404,65,35,28,533
270,26/08/2021,Child,Children's Health Ireland,"15,840","8,078","4,297","16,059","44,274"
271,26/08/2021,Child,Cork University Hospital,"2,408","1,119",565,"1,290","5,382"
272,26/08/2021,Child,Cork University Maternity Hospital,39,5,0,0,44
273,26/08/2021,Child,Croom Orthopaedic Hospital,117,50,44,19,230
274,26/08/2021,Child,Ennis Hospital,18,7,4,5,35
275,26/08/2021,Child,Galway University Hospitals,"2,210","1,190",614,"1,525","5,540"
276,26/08/2021,Child,Letterkenny University Hospital,705,239,181,957,"2,082"
277,26/08/2021,Child,Mallow General Hospital,71,17,15,19,122
278,26/08/2021,Child,Mayo University Hospital,621,265,88,519,"1,494"
279,26/08/2021,Child,Mercy University Hospital,287,106,52,77,522
280,26/08/2021,Child,Midland Regional Hospital Mullingar,554,245,124,194,"1,118"
281,26/08/2021,Child,Midland Regional Hospital Portlaoise,426,242,128,91,888
282,26/08/2021,Child,Midland Regional Hospital Tullamore,658,433,330,"1,500","2,921"
283,26/08/2021,Child,National Orthopaedic Hospital Cappagh,132,39,21,12,204
284,26/08/2021,Child,Nenagh Hospital,7,7,4,8,26
285,26/08/2021,Child,Our Lady of Lourdes Hospital Drogheda,"1,518",964,223,312,"3,017"
286,26/08/2021,Child,Our Lady's Hospital Navan,12,16,18,4,50
287,26/08/2021,Child,Portiuncula University Hospital,348,62,31,64,505
288,26/08/2021,Child,Rotunda Hospital,25,8,2,0,35
289,26/08/2021,Child,Royal Victoria Eye and Ear Hospital,238,117,73,462,890
290,26/08/2021,Child,Sligo University Hospital,899,448,325,493,"2,165"
291,26/08/2021,Child,Small Volume Hospitals,9,11,0,0,20
292,26/08/2021,Child,South Infirmary Victoria University Hospital,"1,095",334,102,394,"1,925"
293,26/08/2021,Child,St. Luke's General Hospital Kilkenny,315,20,2,0,337
294,26/08/2021,Child,Tallaght University Hospital,54,9,4,5,72
295,26/08/2021,Child,Tipperary University Hospital,321,63,4,0,388
296,26/08/2021,Child,University Hospital Kerry,426,226,109,359,"1,120"
297,26/08/2021,Child,University Hospital Limerick,"1,231",756,482,"2,238","4,707"
298,26/08/2021,Child,University Hospital Waterford,"1,165",630,362,"2,632","4,788"
299,26/08/2021,Child,Wexford General Hospital,362,14,0,2,377
300,30/09/2021,Adult,Bantry General Hospital,644,334,186,453,"1,617"
301,30/09/2021,Adult,Beaumont Hospital,"17,869","4,174","1,211",934,"24,187"
302,30/09/2021,Adult,Cavan General Hospital,"3,333","1,274",585,727,"5,919"
303,30/09/2021,Adult,Connolly Hospital Blanchardstown,"4,679",911,174,124,"5,887"
304,30/09/2021,Adult,Coombe Women and Infants University Hospital,"1,661",454,252,392,"2,759"
305,30/09/2021,Adult,Cork University Hospital,"11,680","6,830","3,671","10,007","32,188"
306,30/09/2021,Adult,Cork University Maternity Hospital,"1,504",474,79,18,"2,075"
307,30/09/2021,Adult,Croom Orthopaedic Hospital,"1,843","1,317",924,763,"4,847"
308,30/09/2021,Adult,Ennis Hospital,549,392,274,817,"2,032"
309,30/09/2021,Adult,Galway University Hospitals,"18,048","11,160","6,647","18,794","54,648"
310,30/09/2021,Adult,Letterkenny University Hospital,"6,738","2,967","2,046","6,000","17,750"
311,30/09/2021,Adult,Louth County Hospital,"1,516",570,315,245,"2,646"
312,30/09/2021,Adult,Mallow General Hospital,"1,546",590,275,340,"2,751"
313,30/09/2021,Adult,Mater Misericordiae University Hospital,"21,701","7,877","4,197","11,871","45,645"
314,30/09/2021,Adult,Mayo University Hospital,"4,007","3,247","1,797","3,810","12,861"
315,30/09/2021,Adult,Mercy University Hospital,"2,670","1,092",788,"2,630","7,179"
316,30/09/2021,Adult,Midland Regional Hospital Mullingar,"3,677","2,254","1,353","1,331","8,615"
317,30/09/2021,Adult,Midland Regional Hospital Portlaoise,"2,394","1,311",704,"1,605","6,014"
318,30/09/2021,Adult,Midland Regional Hospital Tullamore,"5,044","3,125","2,138","5,541","15,848"
319,30/09/2021,Adult,Naas General Hospital,"4,472","2,007","1,277","3,361","11,117"
320,30/09/2021,Adult,National Orthopaedic Hospital Cappagh,"1,866",325,112,96,"2,399"
321,30/09/2021,Adult,Nenagh Hospital,394,333,240,194,"1,161"
322,30/09/2021,Adult,Our Lady of Lourdes Hospital Drogheda,"6,293","3,401","1,450","1,276","12,419"
323,30/09/2021,Adult,Our Lady's Hospital Navan,"2,881","1,635","1,007","2,627","8,150"
324,30/09/2021,Adult,Portiuncula University Hospital,"1,917",770,412,899,"3,997"
325,30/09/2021,Adult,Roscommon University Hospital,"3,106","1,118",773,"1,979","6,976"
326,30/09/2021,Adult,Rotunda Hospital,"2,324",945,15,2,"3,286"
327,30/09/2021,Adult,Royal Victoria Eye and Ear Hospital,"3,878","2,308","1,226","7,130","14,542"
328,30/09/2021,Adult,Sligo University Hospital,"6,896","4,015","2,648","4,956","18,514"
329,30/09/2021,Adult,South Infirmary Victoria University Hospital,"8,446","3,459","1,775","7,535","21,215"
330,30/09/2021,Adult,St. Columcille's Hospital,"1,997","1,157",826,"1,983","5,962"
